time,MLII,V1
0,0.08,-0.98
0.002777778,0.05,-1
0.005555556,0.005,-0.99
0.008333333,-0.025,-0.985
0.011111111111112848,-0.045,-0.965
0.013888888888889284,-0.065,-0.925
0.016666667,-0.125,-0.905
0.019444444444445708,-0.19,-0.905
0.022222222222222143,-0.27,-0.92
0.025,-0.385,-0.91
0.027777777777778567,-0.465,-0.885
0.030555555555555003,-0.545,-0.865
0.033333333,-0.61,-0.85
0.036111111,-0.71,-0.84
0.038888889,-0.84,-0.845
0.041666667,-0.975,-0.845
0.044444444,-1.08,-0.835
0.047222222,-1.155,-0.805
0.05,-1.245,-0.8
0.052777777777777146,-1.315,-0.79
0.055555555555557135,-1.395,-0.79
0.058333333,-1.465,-0.795
0.061111111111110006,-1.5,-0.785
0.063888889,-1.54,-0.765
0.066666667,-1.585,-0.75
0.069444444,-1.63,-0.74
0.072222222,-1.685,-0.745
0.075,-1.725,-0.75
0.077777778,-1.755,-0.73
0.080555556,-1.765,-0.705
0.083333333,-1.78,-0.69
0.086111111,-1.795,-0.675
0.088888889,-1.805,-0.685
0.091666667,-1.805,-0.68
0.094444444,-1.8,-0.675
0.097222222,-1.77,-0.66
0.10000000000000142,-1.725,-0.65
0.10277777777777786,-1.675,-0.64
0.10555555555555429,-1.64,-0.64
0.10833333333333428,-1.605,-0.63
0.11111111111111072,-1.575,-0.61
0.11388888888888715,-1.47,-0.6
0.11666666666666714,-1.395,-0.585
0.11944444444444358,-1.335,-0.58
0.12222222222222356,-1.29,-0.57
0.125,-1.24,-0.565
0.12777777777777644,-1.16,-0.55
0.13055555555555642,-1.085,-0.535
0.1333333333333293,-1.005,-0.54
0.1361111111111164,-0.93,-0.52
0.13888888888888928,-0.875,-0.515
0.14166666666666572,-0.805,-0.515
0.1444444444444457,-0.745,-0.495
0.14722222222222214,-0.68,-0.48
0.14999999999999858,-0.625,-0.48
0.15277777777777857,-0.57,-0.47
0.155555556,-0.51,-0.47
0.158333333,-0.485,-0.465
0.16111111111111853,-0.47,-0.45
0.16388888888888786,-0.43,-0.44
0.16666666666666785,-0.395,-0.435
0.1694444444444443,-0.36,-0.425
0.17222222222222072,-0.335,-0.42
0.1750000000000007,-0.3,-0.41
0.17777777777777715,-0.28,-0.39
0.18055555555555713,-0.26,-0.39
0.18333333333333002,-0.23,-0.385
0.186111111,-0.22,-0.37
0.188888889,-0.21,-0.365
0.19166666666666643,-0.2,-0.345
0.19444444444444287,-0.18,-0.34
0.19722222222222285,-0.15,-0.325
0.1999999999999993,-0.125,-0.315
0.20277777777777928,-0.09,-0.31
0.2055555555555557,-0.075,-0.295
0.2083333333333286,-0.06,-0.285
0.2111111111111157,-0.05,-0.26
0.21388888888888857,-0.025,-0.25
0.216666667,-0.005,-0.235
0.219444444,0.025,-0.235
0.22222222222222143,0.025,-0.22
0.22500000000000142,0.02,-0.2
0.22777777777777786,0.03,-0.19
0.2305555555555543,0.045,-0.18
0.23333333333333428,0.06,-0.18
0.23611111111111072,0.08,-0.17
